Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 41.20      5.69     5.69  3671551     0.00     0.00  Vector::Vector(Vector const&)
 20.71      8.55     2.86  1047552     0.00     0.00  Vector::operator/(double)
 16.80     10.87     2.32  1048576     0.00     0.00  Vector::operator-(double)
 11.69     12.48     1.61 2683830272     0.00     0.00  Vector::operator[](unsigned int)
  8.83     13.71     1.22   524800     0.00     0.00  Vector::dot(Vector) const
  0.14     13.72     0.02        1     0.02    13.77  Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >)
  0.07     13.73     0.01  3672575     0.00     0.00  Vector::~Vector()
  0.07     13.74     0.01  2621952     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.07     13.76     0.01  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.07     13.77     0.01   523776     0.00     0.00  Analysis::pearson(Vector, Vector, double, double)
  0.07     13.78     0.01   523776     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.07     13.79     0.01     1024     0.00     0.00  Vector::mean() const
  0.07     13.79     0.01     1024     0.00     0.00  double* std::__copy_n_a<std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*, bool)
  0.07     13.80     0.01        1     0.01     0.01  Dataset::write(std::vector<double, std::allocator<double> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.04     13.81     0.01                             Vector::operator[](unsigned int) const
  0.00     13.81     0.00  3672575     0.00     0.00  Vector::Vector(unsigned int)
  0.00     13.81     0.00  1049600     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00     13.81     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.00     13.81     0.00  1047572     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00     13.81     0.00  1047552     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00     13.81     0.00   526849     0.00     0.00  operator new(unsigned long, void*)
  0.00     13.81     0.00   523858     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     13.81     0.00   523776     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00     13.81     0.00   523776     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00     13.81     0.00   523776     0.00     0.00  std::setprecision(int)
  0.00     13.81     0.00   523776     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00     13.81     0.00   523776     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00     13.81     0.00     5118     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00     13.81     0.00     4106     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00     13.81     0.00     3071     0.00     0.00  void std::_Destroy<Vector>(Vector*)
  0.00     13.81     0.00     2050     0.00     0.00  __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > >::base() const
  0.00     13.81     0.00     2048     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00     13.81     0.00     2047     0.00     0.00  void std::_Construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00     13.81     0.00     1145     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00     13.81     0.00     1025     0.00     0.00  bool __gnu_cxx::operator!=<Vector const*, std::vector<Vector, std::allocator<Vector> > >(__gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&, __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&)
  0.00     13.81     0.00     1025     0.00     0.00  double* std::__niter_wrap<double*>(double* const&, double*)
  0.00     13.81     0.00     1024     0.00     0.00  Vector::get_data()
  0.00     13.81     0.00     1024     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
